"date","bus","rail_boardings","total_rides"
2023-06-11,"239,715","193,563","433,278"
2023-06-12,"457,944","327,050","784,994"
2023-06-13,"450,859","375,000","825,859"
2023-06-14,"493,401","392,696","886,097"
2023-06-15,"482,965","398,441","881,406"
2023-06-16,"453,530","361,553","815,083"
2023-06-17,"372,865","295,909","668,774"
2023-06-18,"272,736","221,073","493,809"
2023-06-19,"384,578","261,569","646,147"
2023-06-20,"488,457","375,171","863,628"
2023-06-21,"495,689","401,487","897,176"
2023-06-22,"486,237","402,155","888,392"
2023-06-23,"469,905","383,443","853,348"
2023-06-24,"369,643","298,557","668,200"
2023-06-25,"258,229","295,714","553,943"
2023-06-26,"445,453","323,554","769,007"
2023-06-27,"496,729","395,754","892,483"
2023-06-28,"496,731","392,034","888,765"
2023-06-29,"470,303","393,963","864,266"
2023-06-30,"473,836","378,120","851,956"
2023-07-01,"335,143","311,337","646,480"
2023-07-02,"170,177","192,380","362,557"
2023-07-03,"444,738","293,378","738,116"
2023-07-04,"281,675","195,858","477,533"
2023-07-05,"448,241","324,432","772,673"
2023-07-06,"495,284","375,201","870,485"
2023-07-07,"479,367","347,499","826,866"
2023-07-08,"352,631","259,570","612,201"
2023-07-09,"281,445","205,204","486,649"
2023-07-10,"485,647","330,776","816,423"
2023-07-11,"483,040","372,976","856,016"
2023-07-12,"443,121","354,104","797,225"
2023-07-13,"505,564","394,862","900,426"
2023-07-14,"476,443","373,807","850,250"
2023-07-15,"359,874","287,408","647,282"
2023-07-16,"281,420","234,238","515,658"
2023-07-17,"480,822","349,113","829,935"
2023-07-18,"512,122","398,713","910,835"
2023-07-19,"515,105","402,686","917,791"
2023-07-20,"502,681","414,002","916,683"
2023-07-21,"485,225","389,288","874,513"
2023-07-22,"360,932","312,905","673,837"
2023-07-23,"288,305","247,161","535,466"
2023-07-24,"474,506","338,496","813,002"
2023-07-25,"508,517","383,391","891,908"
2023-07-26,"478,350","371,278","849,628"
2023-07-27,"502,581","385,163","887,744"
2023-07-28,"446,842","334,517","781,359"
2023-07-29,"364,824","286,441","651,265"
2023-07-30,"285,496","219,936","505,432"
2023-07-31,"469,024","334,195","803,219"
2023-08-01,"528,437","389,535","917,972"
2023-08-02,"519,583","423,358","942,941"
2023-08-03,"521,191","480,968","1,002,159"
2023-08-04,"493,321","456,039","949,360"
2023-08-05,"338,701","346,075","684,776"
2023-08-06,"264,872","298,188","563,060"
